emp_no,first_name,last_name,gender,birth_date,hire_date,salary,title,from_date,t_to_date,de_to_date,de_dept_no,d_dept_no,dept_name
207658,Kiyokazu,Whitcomb,M,1952-02-01,1988-07-26,65434,Senior Engineer,1988-07-26,9999-01-01,9999-01-01,d005,d005,Development
65308,Jouni,Pocchiola,M,1952-02-01,1985-03-10,40000,Senior Staff,1998-01-24,9999-01-01,9999-01-01,d003,d003,Human Resources
87461,Moni,Decaestecker,M,1952-02-01,1986-10-06,43680,Senior Engineer,1989-05-31,9999-01-01,9999-01-01,d004,d004,Production
237571,Ronghao,Schaad,M,1952-02-01,1988-07-10,45528,Senior Staff,2001-06-14,9999-01-01,9999-01-01,d004,d004,Production
432426,Achilleas,Szemeredi,M,1952-02-02,1987-09-03,62465,Senior Staff,2001-03-23,9999-01-01,9999-01-01,d009,d009,Customer Service
294681,Maria,Fujisaki,M,1952-02-02,1988-01-29,40000,Engineer,1999-09-25,9999-01-01,9999-01-01,d005,d005,Development
79026,Armond,Frijda,F,1952-02-02,1985-10-01,54761,Senior Engineer,1993-10-01,9999-01-01,9999-01-01,d005,d005,Development
404902,Bader,Mapelli,M,1952-02-02,1985-04-03,48402,Senior Engineer,1992-04-03,9999-01-01,9999-01-01,d005,d005,Development
101519,Marek,Macedo,M,1952-02-02,1985-05-06,61833,Senior Engineer,1991-05-06,9999-01-01,9999-01-01,d005,d005,Development
445772,Tuval,Oehlmann,M,1952-02-02,1987-03-05,40000,Senior Engineer,1992-03-04,9999-01-01,9999-01-01,d005,d005,Development
400460,Mircea,Wiegley,M,1952-02-02,1985-07-18,66841,Senior Staff,1993-07-18,9999-01-01,9999-01-01,d002,d002,Finance
264904,Sachin,Siksek,M,1952-02-02,1987-02-07,40000,Senior Staff,1997-03-31,9999-01-01,9999-01-01,d003,d003,Human Resources
427703,Hyuckchul,Loncour,M,1952-02-02,1986-09-19,40000,Senior Engineer,1995-07-29,9999-01-01,9999-01-01,d004,d004,Production
204367,Mitsuyuki,Henders,F,1952-02-02,1987-03-06,40000,Senior Engineer,1994-03-30,9999-01-01,9999-01-01,d004,d004,Production
