emp_no,first_name,last_name,gender,birth_date,hire_date,salary,title,from_date,t_to_date,de_to_date,de_dept_no,d_dept_no,dept_name
35793,Oscar,Kusalik,M,1965-01-01,1991-05-11,56473,Senior Staff,1996-05-10,9999-01-01,9999-01-01,d009,d009,Customer Service
36844,Hailing,Levergood,M,1965-01-01,1999-07-21,57007,Staff,2000-01-12,9999-01-01,9999-01-01,d009,d009,Customer Service
295030,Fun,Keirsey,M,1965-01-01,1985-07-09,40000,Senior Staff,1985-07-09,9999-01-01,9999-01-01,d009,d009,Customer Service
440870,Filipp,Hasham,F,1965-01-01,1990-07-11,40000,Senior Staff,1999-07-11,9999-01-01,9999-01-01,d009,d009,Customer Service
276563,Gift,Solares,F,1965-01-01,1986-04-24,40000,Senior Staff,1995-08-01,9999-01-01,9999-01-01,d009,d009,Customer Service
491632,Gadiel,Perly,M,1965-01-01,1986-10-20,75387,Senior Staff,1994-10-20,9999-01-01,9999-01-01,d009,d009,Customer Service
273806,Hongzhu,Beetstra,F,1965-01-01,1991-01-24,81637,Senior Staff,2000-01-24,9999-01-01,9999-01-01,d009,d009,Customer Service
286986,Woody,Trelles,M,1965-01-01,1991-11-30,55706,Senior Engineer,1996-05-23,9999-01-01,9999-01-01,d005,d005,Development
62245,Adel,Bressoud,F,1965-01-01,1987-10-20,40000,Engineer,1995-08-30,9999-01-01,9999-01-01,d005,d005,Development
54198,Shaowen,Segond,M,1965-01-01,1986-01-06,40000,Senior Engineer,1993-01-06,9999-01-01,9999-01-01,d005,d005,Development
455914,Peer,Angelopoulos,M,1965-01-01,1989-07-23,62820,Senior Engineer,1996-07-23,9999-01-01,9999-01-01,d005,d005,Development
490568,Zita,Reistad,M,1965-01-01,1987-12-21,58375,Senior Engineer,1998-07-23,9999-01-01,9999-01-01,d005,d005,Development
490551,Lalit,Lindqvist,M,1965-01-01,1991-03-17,52602,Engineer,1998-11-07,9999-01-01,9999-01-01,d005,d005,Development
251403,Utpal,DuBourdieux,M,1965-01-01,1997-11-19,40000,Technique Leader,1997-11-19,9999-01-01,9999-01-01,d005,d005,Development
423993,Seshu,Kolvik,F,1965-01-01,1988-12-09,40000,Technique Leader,1988-12-09,9999-01-01,9999-01-01,d005,d005,Development
485489,Keiichiro,Armand,F,1965-01-01,1986-12-14,55395,Senior Engineer,1996-12-13,9999-01-01,9999-01-01,d005,d005,Development
480407,Deniz,Bennis,M,1965-01-01,1989-06-24,40000,Senior Engineer,1996-06-24,9999-01-01,9999-01-01,d005,d005,Development
233818,Kellie,Heydon,M,1965-01-01,1985-11-11,40000,Senior Engineer,1991-11-11,9999-01-01,9999-01-01,d005,d005,Development
201709,Fan,Kakkad,M,1965-01-01,1988-02-25,78121,Senior Staff,1993-02-24,9999-01-01,9999-01-01,d002,d002,Finance
31341,Oksana,Zultner,M,1965-01-01,1991-03-23,53219,Senior Staff,1997-03-22,9999-01-01,9999-01-01,d002,d002,Finance
489756,Kersti,Miculan,F,1965-01-01,1986-12-15,74625,Senior Staff,1999-06-10,9999-01-01,9999-01-01,d002,d002,Finance
257484,Shaowei,Nicolson,M,1965-01-01,1986-07-19,40000,Senior Staff,1995-12-07,9999-01-01,9999-01-01,d003,d003,Human Resources
465853,Kwan,Kampfer,F,1965-01-01,1997-03-10,40000,Staff,1998-10-16,9999-01-01,9999-01-01,d003,d003,Human Resources
274071,Mingsen,Weiland,M,1965-01-01,1995-10-12,40000,Staff,1995-10-12,9999-01-01,9999-01-01,d003,d003,Human Resources
438038,Lena,Giaccio,F,1965-01-01,1991-11-26,77091,Senior Staff,1999-03-17,9999-01-01,9999-01-01,d001,d001,Marketing
21546,Yongmin,Lanteri,F,1965-01-01,1988-02-16,75391,Senior Staff,1988-02-16,9999-01-01,9999-01-01,d001,d001,Marketing
39341,Mahmut,Lampe,F,1965-01-01,1985-05-11,50645,Senior Engineer,1994-05-11,9999-01-01,9999-01-01,d004,d004,Production
71685,Kristinn,Olano,F,1965-01-01,1988-04-24,40000,Senior Engineer,1989-10-03,9999-01-01,9999-01-01,d004,d004,Production
252392,Sanjeeva,Peron,M,1965-01-01,1993-12-26,40000,Senior Engineer,1999-12-26,9999-01-01,9999-01-01,d004,d004,Production
408019,Shridhar,Chleq,F,1965-01-01,1986-03-22,46019,Senior Engineer,1996-03-21,9999-01-01,9999-01-01,d004,d004,Production
22926,Manibrata,Genther,M,1965-01-01,1987-05-19,56184,Senior Engineer,1996-01-15,9999-01-01,9999-01-01,d004,d004,Production
251814,Mitsuyuki,Zockler,M,1965-01-01,1996-01-05,42555,Technique Leader,1998-09-14,9999-01-01,9999-01-01,d004,d004,Production
454994,Mohan,Picht,M,1965-01-01,1986-08-21,40000,Senior Engineer,2000-02-24,9999-01-01,9999-01-01,d004,d004,Production
86655,Zhenhua,Lorys,F,1965-01-01,1990-04-29,42987,Engineer,1995-08-21,9999-01-01,9999-01-01,d004,d004,Production
445226,Oscar,Baumann,M,1965-01-01,1987-01-22,40000,Senior Engineer,1996-01-22,9999-01-01,9999-01-01,d004,d004,Production
239415,Susumu,Brender,M,1965-01-01,1993-04-17,48404,Senior Engineer,2001-04-17,9999-01-01,9999-01-01,d004,d004,Production
256216,Halsur,Brodal,F,1965-01-01,1992-02-10,40000,Engineer,1997-11-22,9999-01-01,9999-01-01,d004,d004,Production
61377,Dannz,Ohori,M,1965-01-01,1988-01-18,40000,Senior Staff,1994-01-17,9999-01-01,9999-01-01,d004,d004,Production
91229,Yahiko,Hebden,M,1965-01-01,1985-07-16,40000,Senior Engineer,2001-10-03,9999-01-01,9999-01-01,d004,d004,Production
90084,Renny,Bale,M,1965-01-01,1989-11-22,45685,Senior Engineer,1996-11-22,9999-01-01,9999-01-01,d004,d004,Production
486956,Matt,Ruemmler,F,1965-01-01,1993-10-14,63351,Engineer,1993-10-14,9999-01-01,9999-01-01,d004,d004,Production
